,0
0,-0.044657686430218516
1,-0.04203203553493349
2,-0.032867111520059035
3,-0.032841189590768795
4,-0.03116820057040736
5,-0.03176803559590794
6,-0.031731697060830656
7,-0.029906335012695573
8,-0.027791245093751735
9,-0.030055911732716524
10,-0.030021957727117965
11,-0.03175263171945221
12,-0.031665417646940086
13,-0.03171808187056966
14,-0.02841928113415178
15,-0.02777031754556686
16,-0.026707444220124017
17,-0.026680689631574415
18,-0.030038053642658966
19,-0.029939450565408903
20,-0.03000914347756454
21,-0.03165171337893707
22,-0.028384398959055188
23,-0.02840580380537045
24,-0.026685636516930608
25,-0.02665886020097177
26,-0.027756017334717005
27,-0.02669466174193346
28,-0.02667054243722873
29,-0.02992653948273542
30,-0.028370921630273854
31,-0.028368669654300918
32,-0.026671336306080748
33,-0.02667284365808575
34,-0.02664455999012191
35,-0.02664870476608657
36,-0.028355192325519588
37,-0.026658543447235897
38,-0.026634404555236715
39,-0.036673799104017434
40,-0.035683372759899
41,-0.03564402683927202
42,-0.03566432071500426
43,-0.03559990996521301
44,-0.03562567910177473
45,-0.035581470028029805
