mut_id,mut_label
0,10_10017
1,10_10022
2,10_10065
3,10_10066
4,10_10074
5,10_10100
6,10_10106
7,10_10128
8,10_10135
9,10_10139
10,10_10143
11,10_10150
12,10_10157
13,10_1022
14,10_10227
15,10_1027
16,10_10271
17,10_10273
18,10_10276
19,10_10288
20,10_10292
21,10_10298
22,10_103
23,10_10313
24,10_10329
25,10_10363
26,10_10365
27,10_10367
28,10_1037
29,10_10383
30,10_10392
31,10_10405
32,10_10446
33,10_10477
34,10_10492
35,10_10493
36,10_10510
37,10_10535
38,10_10543
39,10_1057
40,10_10574
41,10_10588
42,10_10604
43,10_10613
44,10_10642
45,10_10645
46,10_10655
47,10_1066
48,10_10674
49,10_10681
50,10_10682
51,10_10701
52,10_10732
53,10_10764
54,10_10773
55,10_10811
56,10_10848
57,10_10857
58,10_10860
59,10_10911
60,10_10919
61,10_10925
62,10_10956
63,10_10963
64,10_11000
65,10_11013
66,10_11020
67,10_11024
68,10_11058
69,10_11059
70,10_11069
71,10_11102
72,10_1111
73,10_11112
74,10_11153
75,10_11161
76,10_11164
77,10_11165
78,10_11170
79,10_1122
80,10_11221
81,10_11232
82,10_11251
83,10_11257
84,10_1126
85,10_11287
86,10_11297
87,10_11399
88,10_11402
89,10_1144
90,10_11441
91,10_11450
92,10_11456
93,10_11476
94,10_11496
95,10_11507
96,10_11519
97,10_11526
98,10_11549
99,10_11552
100,10_11555
101,10_1156
102,10_11565
103,10_11582
104,10_11605
105,10_11668
106,10_11676
107,10_1170
108,10_1174
109,10_11779
110,10_11791
111,10_1181
112,10_11841
113,10_11873
114,10_11874
115,10_11890
116,10_119
117,10_11916
118,10_11947
119,10_11970
120,10_12020
121,10_12027
122,10_12030
123,10_12033
124,10_12034
125,10_12036
126,10_12071
127,10_12083
128,10_12094
129,10_12101
130,10_12131
131,10_12146
132,10_12150
133,10_12173
134,10_12222
135,10_1224
136,10_12247
137,10_12259
138,10_12270
139,10_12293
140,10_12294
141,10_12306
142,10_12307
143,10_12342
144,10_12354
145,10_12358
146,10_12364
